Date,Open,High,Low,Close,Adj Close,Volume
2017-11-24,921.500000,928.900024,920.500000,925.700012,906.287537,2601842
2017-11-27,924.500000,931.000000,922.799988,928.775024,909.298035,1935236
2017-11-28,928.000000,935.500000,927.924988,932.674988,913.116211,2545270
2017-11-29,932.500000,937.750000,927.900024,936.650024,917.007874,1637292
2017-11-30,934.349976,936.974976,920.000000,926.849976,907.413391,2898156
2017-12-01,927.450012,930.000000,922.049988,924.099976,904.721008,1929074
2017-12-04,927.450012,927.450012,915.049988,917.049988,897.818909,1820966
2017-12-05,913.000000,914.275024,903.500000,910.224976,891.137024,1946680
2017-12-06,909.974976,910.674988,899.500000,901.650024,882.741882,3197560
2017-12-07,903.325012,908.299988,901.549988,904.825012,885.850281,2115652
2017-12-08,907.000000,926.500000,907.000000,920.200012,900.902893,4478200
2017-12-11,924.000000,925.875000,920.000000,923.200012,903.839966,1599116
2017-12-12,924.549988,924.950012,907.974976,909.950012,890.867798,1205294
2017-12-13,910.025024,922.500000,907.549988,910.674988,891.577637,1453730
2017-12-14,912.000000,920.000000,906.000000,919.025024,899.752502,1841546
2017-12-15,928.000000,944.000000,927.750000,936.724976,917.081299,6225062
2017-12-18,927.500000,949.500000,904.650024,939.474976,919.773621,6148994
2017-12-19,939.900024,946.825012,938.075012,942.250000,922.490479,2476056
2017-12-20,949.450012,951.549988,931.825012,934.075012,914.486877,4671752
2017-12-21,939.950012,942.500000,932.599976,934.150024,914.560364,3427272
2017-12-22,939.500000,940.000000,930.875000,938.325012,918.647766,2235452
2017-12-26,940.500000,941.400024,928.349976,934.174988,914.584778,3392848
2017-12-27,935.049988,935.150024,925.575012,928.375000,908.906433,1744692
2017-12-28,929.450012,940.450012,929.000000,939.025024,919.333130,4350260
2017-12-29,938.400024,939.599976,934.075012,936.200012,916.567261,3172936
2018-01-01,936.349976,940.375000,925.250000,927.250000,907.805054,3290258
2018-01-02,929.275024,937.500000,929.275024,936.174988,916.542786,2388158
2018-01-03,937.500000,939.125000,925.599976,926.325012,906.899414,2265644
2018-01-04,926.500000,932.750000,926.500000,929.950012,910.448425,1186888
2018-01-05,931.500000,934.025024,927.775024,931.799988,912.259583,1435434
2018-01-08,932.500000,935.349976,928.875000,930.299988,910.791016,2285154
2018-01-09,931.000000,934.924988,927.500000,931.849976,912.308533,2652764
2018-01-10,932.599976,933.950012,928.650024,932.099976,912.553284,2307944
2018-01-11,932.099976,938.000000,928.125000,936.275024,916.640808,2029548
2018-01-12,936.500000,939.075012,930.000000,932.650024,913.091736,2168354
2018-01-15,934.974976,952.200012,929.924988,948.875000,928.976501,6288222
2018-01-16,951.724976,955.000000,942.625000,950.075012,930.151367,3222692
2018-01-17,948.500000,951.275024,943.500000,945.250000,925.427490,1452748
2018-01-18,962.000000,977.000000,959.025024,967.150024,946.868347,8324770
2018-01-19,967.575012,979.950012,959.625000,976.099976,955.630554,5727994
2018-01-22,980.000000,994.000000,976.575012,981.674988,961.088684,4424884
2018-01-23,982.500000,983.349976,971.650024,975.650024,955.190063,2523898
2018-01-24,976.275024,984.500000,975.299988,978.825012,958.298462,2395284
2018-01-25,976.950012,990.000000,975.250000,987.474976,966.767029,4361834
2018-01-29,989.000000,1003.469971,989.000000,999.825012,978.858093,4117946
2018-01-30,998.900024,1000.950012,992.075012,997.750000,976.826538,3198780
2018-01-31,994.700012,1006.750000,993.500000,1002.849976,981.819580,3471674
2018-02-01,1003.000000,1007.500000,992.650024,995.575012,974.697205,3260710
2018-02-02,993.000000,994.950012,970.750000,974.000000,953.574585,3673062
2018-02-05,959.000000,967.625000,952.924988,956.924988,936.857727,3963392
2018-02-06,930.000000,956.000000,918.150024,948.400024,928.511475,5374902
2018-02-07,953.500000,953.500000,931.200012,936.400024,916.763123,4182486
2018-02-08,942.000000,949.299988,933.250000,940.474976,920.752625,2585722
2018-02-09,923.950012,932.349976,922.049988,924.750000,905.357361,3204476
2018-02-12,930.000000,943.000000,927.575012,938.325012,918.647766,2190554
2018-02-14,944.900024,948.950012,937.325012,941.575012,921.829590,1788594
2018-02-15,944.849976,947.375000,937.500000,940.950012,921.217712,2457612
2018-02-16,941.950012,947.424988,937.825012,939.299988,919.602356,1791760
2018-02-19,941.299988,943.799988,929.525024,939.099976,919.406494,1827276
2018-02-20,942.375000,942.924988,929.400024,931.599976,912.063782,2042034
2018-02-21,933.974976,934.275024,926.099976,928.700012,909.224609,1376536
2018-02-22,925.000000,930.000000,920.775024,926.599976,907.168640,6626798
2018-02-23,928.450012,942.424988,925.200012,940.275024,920.556885,2038374
2018-02-26,944.049988,957.400024,941.775024,955.775024,935.731812,2394442
2018-02-27,957.375000,960.875000,950.000000,951.275024,931.326172,2393664
2018-02-28,944.775024,947.724976,939.000000,942.099976,922.343567,2033182
2018-03-01,939.650024,946.650024,934.000000,937.174988,917.521851,1954920
2018-03-05,937.075012,939.000000,929.125000,934.974976,915.367981,1890732
2018-03-06,935.000000,939.950012,919.750000,923.125000,903.766479,2288414
2018-03-07,920.000000,926.700012,914.250000,916.299988,897.084656,2814082
2018-03-08,919.900024,929.250000,916.000000,926.424988,906.997253,2759362
2018-03-09,927.474976,932.625000,922.000000,925.525024,906.116211,2054054
2018-03-12,930.099976,934.724976,926.700012,933.625000,914.046326,3278558
2018-03-13,933.724976,942.375000,927.500000,930.125000,910.619690,2562100
2018-03-14,928.000000,933.950012,924.000000,932.250000,912.700134,1840196
2018-03-15,932.599976,943.750000,932.599976,940.400024,920.679321,2935462
2018-03-16,940.000000,940.549988,923.275024,926.500000,907.070740,3948168
2018-03-19,926.500000,930.000000,921.575012,923.625000,904.255981,3919370
2018-03-20,922.549988,927.950012,917.625000,919.750000,900.462280,1828686
2018-03-21,924.000000,931.599976,921.650024,929.450012,909.958862,2960570
2018-03-22,929.450012,940.000000,927.549988,933.875000,914.291077,3336612
2018-03-23,923.325012,926.549988,918.625000,920.775024,901.465820,3595076
2018-03-26,919.950012,950.000000,916.750000,946.724976,926.871582,5250884
2018-03-27,946.900024,949.500000,938.000000,946.299988,926.455505,3068418
2018-03-28,941.474976,949.849976,938.025024,943.049988,923.273682,4418754
2018-04-02,945.250000,967.875000,945.250000,965.599976,945.350769,2298184
2018-04-03,961.974976,962.849976,955.500000,957.950012,937.861206,2039942
2018-04-04,956.474976,962.474976,939.224976,941.625000,921.878540,1857054
2018-04-05,950.650024,957.000000,945.099976,954.450012,934.434631,2429446
2018-04-06,956.099976,963.224976,952.900024,961.700012,941.532532,1860004
2018-04-09,959.400024,971.000000,958.200012,969.525024,949.193542,2001768
2018-04-10,971.500000,971.500000,956.750000,960.424988,940.284302,3033618
2018-04-11,957.950012,960.000000,952.700012,959.424988,939.305237,1435406
2018-04-12,958.000000,966.450012,952.950012,964.400024,944.176025,2356258
2018-04-13,964.000000,970.000000,959.549988,962.500000,942.315796,1648586
2018-04-16,960.000000,975.000000,959.924988,971.049988,950.686462,1423872
2018-04-17,971.750000,975.500000,967.049988,974.250000,953.819336,1333916
2018-04-18,975.500000,976.750000,965.025024,966.299988,946.036133,1356360
2018-04-19,970.000000,972.400024,966.500000,969.500000,949.169006,1584516
2018-04-20,970.500000,980.500000,966.075012,977.950012,957.441833,4680690
2018-04-23,989.500000,989.500000,930.150024,967.875000,947.578064,7652310
2018-04-24,967.500000,974.025024,963.000000,967.500000,947.210938,2518708
2018-04-25,963.950012,969.000000,956.000000,960.375000,940.235352,2010296
2018-04-26,958.400024,969.599976,955.625000,965.125000,944.885742,3923740
2018-04-27,966.500000,967.750000,956.250000,961.700012,941.532532,2888504
2018-04-30,965.000000,977.400024,964.400024,972.150024,951.763428,2304776
2018-05-02,975.000000,989.000000,973.000000,984.750000,964.099182,3550024
2018-05-03,984.025024,987.450012,973.000000,983.950012,963.315979,2076386
2018-05-04,985.000000,995.000000,983.150024,994.250000,973.399963,3440718
2018-05-07,990.825012,993.650024,987.500000,988.700012,967.966370,2632064
2018-05-08,989.625000,989.950012,977.299988,983.525024,962.899902,3550282
2018-05-09,978.075012,990.250000,978.075012,989.200012,968.455872,2163666
2018-05-10,994.299988,999.500000,991.000000,996.349976,975.455872,3585836
2018-05-11,996.349976,1008.500000,993.000000,1005.880005,984.786072,3028534
2018-05-14,1008.599976,1013.700012,1006.200012,1010.880005,989.681152,2371458
2018-05-15,1013.530029,1032.500000,1013.349976,1018.900024,997.533081,4913342
2018-05-16,1015.280029,1024.500000,1008.580017,1011.669983,990.454590,3420802
2018-05-17,1011.919983,1022.219971,1006.250000,1013.880005,992.618347,3307738
2018-05-18,1012.349976,1012.349976,1001.750000,1006.080017,984.981934,2608730
2018-05-21,1008.049988,1010.500000,993.025024,996.525024,975.627319,2424054
2018-05-22,999.349976,1006.969971,992.750000,994.950012,974.085266,1980186
2018-05-23,993.900024,997.000000,981.700012,983.750000,963.120178,2863146
2018-05-24,983.549988,995.125000,978.174988,993.000000,972.176208,2260372
2018-05-25,995.000000,1008.000000,994.950012,1004.349976,983.288147,2379794
2018-05-28,1003.900024,1026.000000,1003.000000,1021.099976,999.686890,2551970
2018-05-29,1019.000000,1026.349976,1014.400024,1016.299988,994.987549,1675622
2018-05-30,1009.849976,1026.500000,1008.150024,1024.180054,1002.702393,2433498
2018-05-31,1050.000000,1080.000000,1040.000000,1069.719971,1060.751465,19819596
2018-06-01,1058.000000,1069.000000,1050.500000,1055.300049,1046.452515,10575678
2018-06-04,1075.000000,1078.500000,1018.969971,1023.099976,1014.522400,44398162
